name,rating,num_reviews,neighborhood,dist_from_center,price,other,is_Barna,is_Merce_time,short_description,descriptions
Room Mate Gerard,8.8,2783,Eixample,700,1730,"Subway Access, Beach Nearby",1,1,"Junior Suite
Private suite • 1 bedroom • 1 living room • 1 bathroom • 25m²
2 beds (1 king, 1 sofa bed)
Breakfast included
Only 1 left at this price on our site","You're eligible for a Genius discount at Room Mate Gerard! To save at this property, all you have to do is  sign in .
 Room Mate Gerard in Barcelona provides accommodations with a seasonal outdoor swimming pool and a fitness center.

It features a sun terrace and location, set in the Eixample district, near attractions such as Tivoli Theater and within 2297 feet of Portal de l'Angel.

At the hotel all rooms offer a simple yet elegant décor. They come with a wardrobe and a flat-screen TV. Air-conditioning is featured, and certain rooms include a balcony. All units include a private bathroom with shower and free toiletries.

A buffet breakfast is served every morning at the property.

Speaking English and Spanish, staff at the 24-hour front desk can help you plan your stay. Other facilities include portable WiFi.

Plaça Catalunya is a 9-minute walk from the accommodations. Barcelona El Prat Airport is 8.1 mi away. 
 
 
 
 
Couples in particular like the location – they rated it  9.3  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Free WiFi   Non-smoking rooms   Fitness center   24-hour front desk   Facilities for disabled guests   Terrace   Elevator   Tea/Coffee Maker in All Rooms   Very Good Breakfast"
Sonder Los Arcos,8.4,149,Ciutat Vella,1000,1530,"Subway Access, Beach Nearby",1,1,"Queen Room with Two Queen Beds
2 queen beds
Only 1 room left at this price on our site","Ideally located in the Ciutat Vella district of Barcelona, Sonder Los Arcos is located 1.3 miles from Sant Miquel Beach, 1.3 miles from Barceloneta Beach and a 11-minute walk from Plaça Catalunya. Popular points of interest nearby include Portal de l'Angel, Barcelona Cathedral and Boqueria Market. The property is half a mile from the city center and 1.3 miles from Sant Sebastian Beach.

All rooms come with air conditioning, a flat-screen TV with cable channels, a coffee machine, a bath or shower, free toiletries and a desk. With a private bathroom equipped with a hairdryer, rooms at the hotel also feature free WiFi, while some rooms also feature a balcony. At Sonder Los Arcos the rooms have bed linen and towels.

Popular points of interest near the accommodation include Tivoli Theatre, Passeig de Gracia and Palau de la Musica Catalana. The nearest airport is Barcelona-El Prat Airport, 8.1 miles from Sonder Los Arcos. 
 
 
 
 
Couples in particular like the location – they rated it  9.3  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Free WiFi   Non-smoking rooms   Elevator   Air conditioning   Tea/Coffee Maker in All Rooms"
Occidental Barcelona 1929,8.9,4066,Montjuïc,2300,909,Subway Access,1,1,"Superior Double Room
Beds: 1 double or 2 twins
Only 5 rooms left at this price on our site","You're eligible for a Genius discount at Occidental Barcelona 1929! To save at this property, all you have to do is  sign in .
 Occidental Barcelona 1929 features a seasonal outdoor swimming pool, fitness center, a terrace and bar in Barcelona. Each room at the 3-star hotel has city views and free WiFi. The property is non-smoking throughout and is located a 7-minute walk from Magic Fountain of Montjuic.

The hotel will provide guests with air-conditioned rooms offering a closet, an electric tea pot, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Occidental Barcelona 1929 all rooms have bed linen and towels.

A buffet breakfast is available every morning at the accommodation.

Speaking Catalan, English, Spanish and French at the 24-hour front desk, staff are always at hand to help.

Sants Railway Station is a 11-minute walk from Occidental Barcelona 1929, while Passeig de Gracia is 1.5 miles away. The nearest airport is Barcelona-El Prat Airport, 6.2 miles from the hotel. 
 
 
 
 
Couples in particular like the location – they rated it  9.4  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Parking on site   Free WiFi   Family rooms   Non-smoking rooms   Fitness center   24-hour front desk   Tea/Coffee Maker in All Rooms   Bar   Very Good Breakfast"
Hotel Alimara,8.3,3892,Guinardó,5500,749,Subway Access,1,1,"Double Room
1 queen bed
Free cancellation","You're eligible for a Genius discount at Hotel Alimara! To save at this property, all you have to do is  sign in .
 Hotel Alimara is a modern hotel located in Barcelona’s Horta district. It has a central garden, several meeting rooms, rooms with flat-screen TVs, and a fitness center.

All rooms at the Alimara Hotel have both air conditioning and heating. They all have a private bathroom with hairdryer.

The Alimara’s restaurant serves Mediterranean food with a modern twist and there are children’s menus available. The hotel bar, SUMMUM, features a terrace and serves food, drinks and snacks.

The hotel is located 1 minutes' walk from Mundet Metro Station, and it is a 12-minute journey into central Barcelona. Gaudí’s iconic Parc Güell is 4 Metro stops away from Mundet. 
 
 
 
 
Couples in particular like the location – they rated it  8.2  for a two-person trip.
 
 
 
 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Parking on site   Free WiFi   Family rooms   Non-smoking rooms   Fitness center   Restaurant   24-hour front desk   Tea/Coffee Maker in All Rooms   Bar   Good Breakfast"
Weflating City Center,8.8,1573,Eixample,500,978,"Subway Access, Beach Nearby",1,1,"Economy Double Room
2 bunk beds
Free cancellation
Only 1 room left at this price on our site","You're eligible for a Genius discount at Weflating City Center! To save at this property, all you have to do is  sign in .
 These stylish apartments and rooms are located in the chic Eixample district of central Barcelona, just 1148 feet from the famous Passeig de Gracia Boulevard and Metro Station. They offer a plasma TV and free Wi-Fi.

The air-conditioned Weflating City Center are spacious, bright and offer two or three bedrooms. The modern kitchen includes a washing machine, oven and a dishwasher.

There are several bars, restaurants and shops within 5 minutes- walk of the apartments, and many of the city’s most popular monuments can be reached easily by foot.

Gaudi’s La Pedrera and La Rambla are both just 10 minutes’ walk away. The Barceloneta area with its beach can be reached by metro in around 10 minutes.

Direct busses to El Prat Airport run from outside El Corte Ingles department store on Plaza Catalunya Square, 1969 feet away. Various busses, trains and metros also run from here. 
 
 
 
 
Couples in particular like the location – they rated it  9.4  for a two-person trip.
 
 
 
 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Free WiFi   Airport shuttle   Family rooms   Non-smoking rooms   Elevator   Air conditioning   Heating"
Zenit Barcelona,8.2,1479, Gervasi,2100,1119,,1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","Zenit Barcelona is 820 feet from Plaza Francesc Macià on Barcelona’s Diagonal Avenue. This modern hotel offers stylish air-conditioned and soundproofed rooms, with free Wi-Fi and a pillow menu.

The Zenit is a 15-minute walk from Passeig de Gràcia Boulevard, where Gaudí’s famous La Pedrera and Casa Batlló can be found. Plaza Catalunya and Las Ramblas are a further 15 minutes’ walk away.

Rooms at the Zenit Barcelona feature satellite TV and a safe and mini-bar. There is a work desk and a kettle with free tea and coffee set; the private bathrooms come with a hairdryer.

Zenit Hotel’s restaurant offers gourmet Spanish and international cuisine. A special gluten-free breakfast and children's menus are available, and packed lunches and room service can be requested.

There is a 24-hour front desk and a tour desk. A laundry, dry cleaning and ironing service is offered. Parking is available 10 minutes' walk away, for an extra cost. 
 
 
 
 
Couples in particular like the location – they rated it  8.8  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Parking   Free WiFi   Non-smoking rooms   Fitness center   Restaurant   24-hour front desk   Facilities for disabled guests   Tea/Coffee Maker in All Rooms   Bar   Good Breakfast"
TWO Hotel Barcelona by Axel 4* Sup- Adults Only,8.4,2538,Eixample,1500,1405,"Subway Access, Beach Nearby",1,1,"Double or Twin Room
1 queen bed
Free cancellation","Offering a rooftop pool with a large sun terrace, TWO Hotel Barcelona by Axel is located in the heart of the gay district of Barcelona, 1.2 mi from Barceloneta Beach.

The hetero-friendly hotel offers on-site private parking. There is also a  24-hour reception and guests can get information on the gay scene and the city at the on-site tour desk. On the rooftop guests will also find the Sky bar, gym, steam bath and a massage room.

Each room here will provide you with air conditioning and a mini-bar. Featuring a shower, private bathroom also comes with a hairdryer. A safety deposit box and a universal phone charger are also provided.

Guests can sample a drink at the rooftop bar, while taking in stunning city views or enjoy the delicious cocktails served in the Lounge Bar. A buffet breakfast is available and free high-speed WiFi access is provided throughout.

Staff can give information about the surrounding area, which is known as ""Gayxample"" because of its lively gay nightlife.

The hotel is 2 minutes' walk from Rocafort Metro Station and Plaça d'Espanya, with direct busses to Barcelona Airport, is a 10-minute walk away. Paral·lel, with bars, restaurants, clubs and theaters is 0.8 mi from TWO Hotel Barcelona by Axel. 
 
 
 
 
Couples in particular like the location – they rated it  8.9  for a two-person trip.
 
 
 
 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Private Parking   Free WiFi   Non-smoking rooms   Fitness center   24-hour front desk   Facilities for disabled guests   Terrace   Bar   Good Breakfast"
Hotel Paxton Barcelona,8.7,5235,Sant Martí,2900,2498,"Subway Access, Beach Nearby",1,1,"Standard Double Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property","You're eligible for a Genius discount at Hotel Paxton Barcelona! To save at this property, all you have to do is  sign in .
 Located in Barcelona, a 12-minute walk from Bogatell Beach, Hotel Paxton Barcelona provides accommodations with a seasonal outdoor swimming pool, private parking, a fitness center and a shared lounge. With free WiFi, this 4-star hotel offers room service and a 24-hour front desk. Certain rooms at the property include a terrace with a city view.

The hotel will provide guests with air-conditioned rooms with a desk, a coffee machine, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Hotel Paxton Barcelona each room is equipped with bed linen and towels.

A buffet breakfast is available daily at the accommodation. At Hotel Paxton Barcelona you'll find a restaurant serving Italian and Spanish cuisine. Vegetarian, dairy-free and gluten-free options can also be requested.

Popular points of interest near the hotel include Mar Bella Beach, Nova Icaria Beach and Port Olimpic. The nearest airport is Barcelona-El Prat Airport, 10 miles from Hotel Paxton Barcelona. 
 
 
 
 
Couples in particular like the location – they rated it  8.3  for a two-person trip.
 
 
 
 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Private Parking   Free WiFi   Family rooms   Non-smoking rooms   Fitness center   Restaurant   Tea/Coffee Maker in All Rooms   Bar   Excellent Breakfast"
Catalonia Sagrada Familia,8.2,7799,Sant Martí,2600,1070,"Subway Access, Beach Nearby",1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property","A 15-minute walk from Gaudí's Sagrada Família, Catalonia Sagrada Familia is just 984 feet from Clot Metro and Train Station. It features a restaurant, a seasonal outdoor pool and a gym.

The Catalonia Sagrada Familia features traditional, bright décor and its rooms are have a desk, a mini fridge with complimentary water and a safety deposit box. Free Wi-Fi access is available.
All hotel rooms have smart TVs, which are equipped with Chromecast app.

The restaurant serves a range of Catalan and Mediterranean cuisine, as well as a buffet breakfast. The café-bar offers a selection of drinks and snacks throughout the day and there is also a bar.

Car hire is available on site, and staff at the Catalonia Sagrada Familia’s 24-hour reception can provide information on Barcelona and its many attractions. The hotel is 656 feet from the Torre Agbar Tower.

Clot Metro Station connects guests to the city center in 4 stops and the airport train also stops here. 
 
 
 
 
Couples in particular like the location – they rated it  8.5  for a two-person trip.
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Outdoor swimming pool   Private Parking   Free WiFi   Non-smoking rooms   Fitness center   24-hour front desk   Facilities for disabled guests   Room service   Bar   Excellent Breakfast"
Sallés Hotel Pere IV,8.1,8217,Sant Martí,2200,1469,"Subway Access, Beach Nearby",1,1,"Deluxe Double Room with Spa Access
Multiple bed types
Free cancellation
No prepayment needed – pay at the property","You're eligible for a Genius discount at Sallés Hotel Pere IV! To save at this property, all you have to do is  sign in .
 Pere IV is located in the Poble Nou District, 10 minutes’ walk from the lively Port Olimpic area and Barcelona's beaches. This hotel features a free spa, free Wi-Fi and 24-hour reception.
.

Each of the spacious rooms comes with a mini-bar, and a flat-screen TV with satellite channels.

The à la carte Garum Restaurant offers Mediterranean cuisine. The hotel serves a daily, buffet breakfast.

Guests enjoy free access to the Pere IV's spa, which includes a Finnish sauna, a hammam, indoor pool and sensation showers.

The Pere IV is a short walk from the beach and the new marina. Nearby Bogatell Metro Station offers easy access to the beach and the city center, which can both be reached within 15 minutes. 
 
 
 
 

 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Private Parking   Free WiFi   Spa   Airport shuttle   Family rooms   Non-smoking rooms   Fitness center   Tea/Coffee Maker in All Rooms   Bar   Very Good Breakfast"
Hotel Peninsular,7.0,5268,Ciutat Vella,900,866,"Subway Access, Beach Nearby",1,1,"Double or Twin Room
Beds: 1 double or 2 twins
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","You're eligible for a Genius discount at Hotel Peninsular! To save at this property, all you have to do is  sign in .
 Just a one minute walk from Las Ramblas, this charming hotel features a free Wi-Fi zone and a bright central courtyard filled with plants. Liceu Metro Station is only 220 yards away.

Hotel Peninsular features functional, air-conditioned rooms with private bathrooms. The hotel’s 24-hour front desk offers luggage storage and information about Barcelona.

The Peninsular is on the edge of the trendy Raval district, which is full of lively bars. The colorful street performers and sidewalk cafés of Las Ramblas are just around the corner.

The famous Boqueria Market is 270 yards from the hotel, while Barcelona Cathedral is 0.3 miles away. Airport buses and local trains stop in Plaça Catalunya, a 10-minute walk away. 
 
 
 
 
Couples in particular like the location – they rated it  9.1  for a two-person trip.
 
 
 
 Distance in property description is calculated using © OpenStreetMap 
 
 Show me more 
 
 
 
 
 
 Most popular amenities Free WiFi   Family rooms   24-hour front desk   Elevator   Garden   Air conditioning   Heating   Baggage storage   Breakfast"
